timestamp_ms,ai_speed_mps,speed_confidence
8309,1.3251201,0.9244281
9310,1.54341,0.9135133
10309,1.4920613,0.8747618
11310,2.1894736,0.8036989
12310,2.7765439,0.8146246
13310,2.9834447,0.7634897
14310,3.1123297,0.78256786
15310,3.7057297,0.73253447
16310,3.3503587,0.7672148
17310,3.6340659,0.72892207
18310,3.5942774,0.7542283
19310,3.2693598,0.79268694
20310,2.59538,0.8590064
21310,2.2414174,0.8273944
22310,1.8353978,0.88380224
23310,1.5233535,0.878371
24311,1.3187318,0.87779164
25310,1.0447378,0.904301
26310,1.2796826,0.9208025
27310,1.3939447,0.8943789
28309,1.7152369,0.8888791
29310,1.6273402,0.8234931
30310,1.806374,0.83411837
31309,2.5188184,0.80359244
32310,2.9041173,0.7814158
33310,3.306757,0.7730293
34309,3.4005165,0.7283884
35309,3.0663388,0.7695188
36311,3.1662495,0.8286318
37310,3.1706643,0.74088
38310,2.776651,0.8199161
39310,2.8659441,0.7962554
40310,3.174143,0.81767875
41310,3.086309,0.78413224
42309,3.2427967,0.8100007
43310,3.347114,0.76019126
44310,3.142875,0.83285886
45310,2.4843886,0.86047333
46310,1.9319122,0.86001104
47309,1.060911,0.92166686
48310,0.69433147,0.95852226
49309,0.4980736,0.9554305
50310,0.48707744,0.9557637
51310,0.48910096,0.95994794
52310,0.49756268,0.94261795
53310,0.50369,0.9643774
54310,0.5098411,0.94806296
55310,0.51959497,0.9543983
56309,0.53703547,0.94371086
57310,0.53493583,0.9605952
58310,0.5432638,0.95300174
59310,0.5482657,0.9588948
60310,0.55132204,0.9439378
61310,0.5450935,0.94784945
62310,0.55008763,0.95152086
63310,0.5425536,0.9535156
64310,0.544615,0.95079535
65310,0.5425043,0.9579818
66310,0.5396811,0.9505928
67309,0.5355306,0.9377841
68310,0.5361164,0.9578805
69310,0.5417253,0.9572245
70310,0.53569615,0.93803966
71310,0.53567284,0.9523756
72310,0.54376715,0.95769405
73309,0.49629596,0.95869786
74310,0.51520216,0.9491291
75310,0.5830466,0.96194273
76310,1.2305449,0.9135734
77310,1.9227694,0.82386136
78310,2.591762,0.7699186
79310,3.0279946,0.7799678
80312,2.7629173,0.81348777
81309,2.2836757,0.8539142
82310,1.8815393,0.8548715
83310,1.9973598,0.86028236
84310,2.2086072,0.8560391
85310,2.322098,0.83716285
86310,2.7570095,0.8093711
87310,3.339592,0.7780963
88310,2.944097,0.7586596
89310,2.8459616,0.78017914
90310,2.9852479,0.7757744
91309,3.2310636,0.7961064
92310,3.1339803,0.7992191
93310,3.441892,0.79567415
94310,3.2045145,0.7592453
95310,3.017365,0.7964723
96310,3.0286014,0.8146916
97310,2.5895383,0.80857885
98310,2.58718,0.852932
99310,2.5592732,0.8306936
100310,2.832839,0.7816603
101310,2.968243,0.7862617
102310,2.9511466,0.8215321
103309,2.98253,0.81681514
104311,3.1675165,0.8159299
105310,3.1517522,0.7500276
106309,2.842131,0.7821657
