S-Vw4 EKF POSITION EVALUATION
======================================================================

RAW S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       24.0521         13.6775  39.1882      76.6651     282.0144
DURING BLACKOUT      200      195.8210        139.3802 228.6675     365.4434     369.9355
 AFTER BLACKOUT    75687      107.1229        112.8080 110.0086     129.4269     285.9047
        OVERALL   126477       74.0353         91.9877  89.1013     124.5696     369.9355

CLEANED S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       23.1758         13.6745  36.3500      69.8982     255.9123
DURING BLACKOUT      200      194.6076        138.9395 227.5516     364.9996     369.5014
 AFTER BLACKOUT    75687      106.5767        112.7490 109.3428     127.7763     269.1926
        OVERALL   126477       73.3560         90.4826  88.1197     123.7935     369.5014

GPS JUMP DETECTION
Threshold: 50.00 m
Detected jumps: 1210
GPS jump: 1065210 -> 1065310 ms; dt=0.100 s; distance=149.820 m
GPS jump: 1074309 -> 1074409 ms; dt=0.100 s; distance=156.014 m
GPS jump: 1083309 -> 1083409 ms; dt=0.100 s; distance=83.800 m
GPS jump: 1092311 -> 1092410 ms; dt=0.099 s; distance=104.069 m
GPS jump: 1101310 -> 1101410 ms; dt=0.100 s; distance=160.245 m
GPS jump: 1110210 -> 1110310 ms; dt=0.100 s; distance=157.957 m
GPS jump: 1119327 -> 1119410 ms; dt=0.083 s; distance=101.418 m
GPS jump: 1128210 -> 1128310 ms; dt=0.100 s; distance=173.060 m
GPS jump: 1137310 -> 1137410 ms; dt=0.100 s; distance=169.349 m
GPS jump: 1146310 -> 1146410 ms; dt=0.100 s; distance=83.591 m
GPS jump: 1155310 -> 1155410 ms; dt=0.100 s; distance=127.623 m
GPS jump: 1164310 -> 1164411 ms; dt=0.101 s; distance=192.210 m
GPS jump: 1173310 -> 1173409 ms; dt=0.099 s; distance=191.764 m
GPS jump: 1182310 -> 1182410 ms; dt=0.100 s; distance=191.563 m
GPS jump: 1191310 -> 1191410 ms; dt=0.100 s; distance=106.939 m
GPS jump: 1200210 -> 1200310 ms; dt=0.100 s; distance=91.484 m
GPS jump: 1209210 -> 1209310 ms; dt=0.100 s; distance=162.458 m
GPS jump: 1218210 -> 1218309 ms; dt=0.099 s; distance=119.420 m
GPS jump: 1227211 -> 1227310 ms; dt=0.099 s; distance=131.938 m
GPS jump: 1236210 -> 1236311 ms; dt=0.101 s; distance=123.865 m
GPS jump: 1245210 -> 1245310 ms; dt=0.100 s; distance=109.024 m
GPS jump: 1254210 -> 1254310 ms; dt=0.100 s; distance=123.711 m
GPS jump: 1263210 -> 1263311 ms; dt=0.101 s; distance=86.662 m
GPS jump: 1272310 -> 1272410 ms; dt=0.100 s; distance=95.761 m
GPS jump: 1281210 -> 1281311 ms; dt=0.101 s; distance=138.983 m
GPS jump: 1290210 -> 1290310 ms; dt=0.100 s; distance=141.042 m
GPS jump: 1299210 -> 1299311 ms; dt=0.101 s; distance=137.378 m
GPS jump: 1308210 -> 1308310 ms; dt=0.100 s; distance=143.012 m
GPS jump: 1317210 -> 1317310 ms; dt=0.100 s; distance=137.317 m
GPS jump: 1326210 -> 1326310 ms; dt=0.100 s; distance=63.208 m
GPS jump: 1335210 -> 1335310 ms; dt=0.100 s; distance=133.219 m
GPS jump: 1344210 -> 1344310 ms; dt=0.100 s; distance=112.858 m
GPS jump: 1353209 -> 1353310 ms; dt=0.101 s; distance=54.989 m
GPS jump: 1362209 -> 1362310 ms; dt=0.101 s; distance=67.096 m
GPS jump: 1371311 -> 1371410 ms; dt=0.099 s; distance=123.798 m
GPS jump: 1380310 -> 1380410 ms; dt=0.100 s; distance=143.384 m
GPS jump: 1389310 -> 1389411 ms; dt=0.101 s; distance=103.678 m
GPS jump: 1408310 -> 1408410 ms; dt=0.100 s; distance=78.513 m
GPS jump: 1417210 -> 1417310 ms; dt=0.100 s; distance=110.209 m
GPS jump: 1426209 -> 1426310 ms; dt=0.101 s; distance=109.727 m
GPS jump: 1435210 -> 1435310 ms; dt=0.100 s; distance=59.143 m
GPS jump: 1444210 -> 1444310 ms; dt=0.100 s; distance=129.646 m
